# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
9.01,-34.68,
9.03,-35.57,
9.05,-35.18,
9.07,-34.92,
9.09,-34.73,
9.11,-34.61,
9.13,-34.98,
9.15,-34.47,
9.17,-34.34,
9.19,-34.7,
9.21,-34.83,
9.23,-34.92,
9.25,-35.62,
9.27,-35.66,
9.29,-36.05,
9.31,-35.19,
9.33,-35.04,
9.35,-34.91,
9.37,-34.56,
9.39,-34.87,
9.41,-34.8,
9.43,-34.83,
9.45,-35.12,
9.47,-35.12,
9.49,-34.92,
9.51,-34.66,
9.53,-35.01,
9.55,-34.4,
9.57,-35,
9.59,-35.075,
9.61,-34.75,
9.63,-34.925,
9.65,-35.17,
9.67,-34.675,
9.69,-34.445,
9.71,-34.62,
9.73,-34.715,
9.75,-34.64,
9.77,-34.6,
9.79,-34.465,
9.81,-34.945,
9.83,-35.37,
9.85,-35.22,
9.87,-34.54,
9.89,-35.06,
9.91,-35.26,
9.93,-34.85,
9.95,-35.46,
9.97,-34.65,
9.99,-35.1,
10.01,-34.94,
10.03,-35.11,
10.05,-35.79,
10.07,-35.21,
10.09,-35.32,
10.11,-35.29,
10.13,-35.45,
10.15,-34.99,
10.17,-35.02,
10.19,-34.89,
10.21,-35.93,
10.23,-35.54,
10.25,-36.33,
10.27,-36.39,11.83
10.29,-36.01,18.06
10.31,-36.01,12.89
10.33,-35.2,13.13
10.35,-36.12,18.78
10.37,-36.19,11.18
10.39,-36.36,12.27
10.41,-35.96,13.43
10.43,-36.12,13.88
10.45,-36.04,15.94
10.47,-35.53,14.72
10.49,-36.34,14.26
10.51,-35.47,10.93
10.53,-35.73,12.55
10.55,-35.86,12.48
10.57,-36,13.18
10.59,-35.88,14.66
10.61,-36.11,14.68
10.63,-36.13,15.74
10.65,-36.16,14.5
10.67,-35.49,13.29
10.69,-35.77,16.59
10.71,-36.05,17.98
10.73,-36.45,21.7
10.75,-35.88,18.09
10.77,-36.21,16.39
10.79,-36.84,16.15
10.81,-35.83,15.75
10.83,-36.59,16.39
10.85,-36.09,16.67
10.87,-37.23,14.53
10.89,-37.6,14.67
10.91,-37.25,12.85
10.93,-37.15,17.33
10.95,-36.99,15.52
10.97,-38.02,17.59
10.99,-36.53,15.31
11.01,-37.05,12.39
11.03,-36.44,11.12
11.05,-36.65,14.17
11.07,-36.89,13.48
11.09,-37.1,10.9
11.11,-36.71,10.63
11.13,-36.43,12.61
11.15,-37.14,12.53
11.17,-36.62,14.78
11.19,-37.24,14
11.21,-37.39,10.4
11.23,-37.6,11.4
11.25,-36.58,14.96
11.27,-36.15,12.6
11.29,-36.59,12.66
11.31,-37.54,10.04
11.33,-36.67,14.81
11.35,-36.91,14.36
11.37,-37.45,14.27
11.39,-37.63,12.54
11.41,-37.12,22.13
11.43,-38.47,23.7
11.45,-38.25,25.62
11.47,-38.72,18.92
11.49,-37.42,18.6
11.51,-37.84,18.92
11.53,-36.9,11.33
11.55,-36.59,10.69
11.57,-36.88,
11.59,-36.78,15.08
11.61,-36.41,17.09
11.63,-36.57,16.41
11.65,-36.69,22.69
11.67,-38.5,17.03
11.69,-39.03,43.88
11.71,-39.6,88.17
11.73,-39.71,86.42
11.75,-40.86,115.55
11.77,-40.55,89.53
11.79,-39.86,119.17
11.81,-40.46,110.19
11.83,-40.96,106.48
11.85,-39.17,129.74
11.87,-38.93,115.92
11.89,-41.52,116.76
11.91,-39.73,132.42
11.93,-41.93,152.41
11.95,-40.33,123.06
11.97,-41.54,112.79
11.99,-40.53,127.64
12.01,-39.6,113.88
12.03,-40.19,91.88
12.05,-39.31,113.35
12.07,-40.77,108.93
12.09,-40.73,120.38
12.11,-41.89,125.71
12.13,-40.6,139.93
12.15,-41.75,143.91
12.17,-42.09,165.15
12.19,-38.91,85.82
12.21,-41.4,135.97
12.23,-40.92,163.48
12.25,-39.85,148.63
12.27,-40.76,147.25
12.29,-40.98,146.61
12.31,-40.44,138.2
12.33,-40.95,191.03
12.35,-41.72,211.27
12.37,-41.19,120.54
12.39,-40.72,144.07
12.41,-41.2,134.64
12.43,-41.02,101.88
12.45,-41.42,132.16
12.47,-39.99,137.56
12.49,-41.92,168.24
12.51,-40.62,180.72
12.53,-39.09,192.23
12.55,-40.98,225.33
12.57,-40.54,194.27
12.59,-41.45,201.43
12.61,-42.71,273.95
12.63,-40.59,252.8
12.65,-41.81,273.94
12.67,-40.93,157.69
12.69,-42.26,226.7
12.71,-41.82,200.82
12.73,-41.95,235.3
12.75,-41.04,174.61
12.77,-39.86,129.69
12.79,-40.17,105.59
12.81,-40.36,84.08
12.83,-39.88,88.36
12.85,-38.98,40.42
12.87,-39.81,46.04
12.89,-40.11,40.83
12.91,-39.42,44.13
12.93,-37.77,36.99
12.95,-38.26,42.48
12.97,-39.12,36.91
12.99,-38.96,30.92
13.01,-39.87,34.7
13.03,-39.56,54.01
13.05,-39.49,50
13.07,-40.52,41.05
13.09,-39.77,45.96
13.11,-40.58,61.86
13.13,-40.15,47.67
13.15,-41.52,63.96
13.17,-40.08,53.92
13.19,-40.53,55.63
13.21,-40.1,68.9
13.23,-40.58,61.7
13.25,-39.46,42.84
13.27,-39.3,38.58
13.29,-38.97,33.55
13.31,-39.02,38.98
13.33,-39.34,36.65
13.35,-39.08,39.39
13.37,-38.55,29.65
13.39,-38.36,34.7
13.41,-38.75,38.84
13.43,-38.14,29.89
13.45,-38.57,34.39
13.47,-38.8,32.33
13.49,-38.33,41.71
13.51,-37.74,30.53
13.53,-38.08,33.25
13.55,-38.29,30.83
13.57,-38.99,41.69
13.59,-39.36,38.41
13.61,-39.63,71.63
13.63,-40.04,63.45
13.65,-39.2,48.27
13.67,-39.09,45.56
13.69,-38.67,35.52
13.71,-38.93,31.76
13.73,-37.66,32.63
13.75,-38.45,28.91
13.77,-39.41,30.51
13.79,-38.81,33.88
13.81,-37.85,34.63
13.83,-39.07,37.79
13.85,-37.96,32.45
13.87,-38,31.98
13.89,-38.44,33.31
13.91,-38.22,32.59
13.93,-38.61,27.67
13.95,-38.01,36.67
13.97,-39.98,51.79
13.99,-39.04,57.8
